Cainhurst_Armor	mentions	ANNALISE
Cainhurst_Gauntlets	mentions	ANNALISE
Cainhurst_Leggings	mentions	ANNALISE
Maria_Hunter_Cap	mentions	QUEEN
Cainhurst_Armor	mentions	QUEEN
Maria_Hunter_Garb	mentions	QUEEN
Cainhurst_Gauntlets	mentions	QUEEN
Maria_Hunter_Gloves	mentions	QUEEN
Cainhurst_Leggings	mentions	QUEEN
Maria_Hunter_Trousers	mentions	QUEEN
Cainhurst_Armor	mentions	VILEBLOODS
Cainhurst_Gauntlets	mentions	VILEBLOODS
Cainhurst_Leggings	mentions	VILEBLOODS
Arianna's_Shoes	mentions	ARIANNA
Arianna's_Shoes	mentions	WOMAN
Black_Hood	mentions	NIGHT
Bradors_Testimony	mentions	NIGHT
Butcher_Mask	mentions	NIGHT
Knight's_Wig	mentions	NIGHT
Mensis_Cage	mentions	NIGHT
Old_Hunter_Cap	mentions	NIGHT
Butcher_Garb	mentions	NIGHT
Constable's_Garb	mentions	NIGHT
Decorative_Old_Hunter_Garb	mentions	NIGHT
Foreign_Garb	mentions	NIGHT
Hunter_Garb	mentions	NIGHT
Knight's_Garb	mentions	NIGHT
Yahar'gul_Black_Garb	mentions	NIGHT
Sullied_Bandage	mentions	NIGHT
Hunter_Gloves	mentions	NIGHT
Knight's_Gloves	mentions	NIGHT
Yahar'gul_Black_Gloves	mentions	NIGHT
Butcher_Gloves	mentions	NIGHT
Constable_Gloves	mentions	NIGHT
Old_Hunter_Gloves	mentions	NIGHT
Foreign_Trousers	mentions	NIGHT
Hunter_Trousers	mentions	NIGHT
Knight's_Trousers/Dress	mentions	NIGHT
Yahar'gul_Black_Trousers	mentions	NIGHT
Arianna's_Shoes	mentions	NIGHT
Butcher_Trousers	mentions	NIGHT
Constable_Trousers	mentions	NIGHT
Decorative_Old_Hunter_Trousers	mentions	NIGHT
Old_Hunter_Trousers	mentions	NIGHT
Wine_Hakama	mentions	NIGHT
Beak_Mask	mentions	BLOOD
Black_Church_Hat	mentions	BLOOD
